2025-01-01 00:00 -10
2025-01-01 01:00 -9
2025-01-01 02:00 -8
2025-01-01 03:00 -7
2025-01-01 04:00 -6
2025-01-01 05:00 -5
2025-01-01 06:00 -4
2025-01-01 07:00 -3
2025-01-01 08:00 -2
2025-01-01 09:00 -1
2025-01-01 10:00 0
2025-01-01 11:00 1
2025-01-01 12:00 2
2025-01-01 13:00 3
2025-01-01 14:00 4
2025-01-01 15:00 5
2025-01-01 16:00 6
2025-01-01 17:00 7
2025-01-01 18:00 8
2025-01-01 19:00 9
2025-01-01 20:00 10
2025-01-02 00:00 -11
2025-01-02 01:00 -10
2025-01-02 02:00 -9
2025-01-02 03:00 -8
2025-01-02 04:00 -7
2025-01-02 05:00 -6
2025-02-01 00:00 15
2025-02-01 01:00 16
2025-02-01 02:00 17
2025-02-01 03:00 18
2025-02-01 04:00 19
2025-02-01 05:00 20
2025-02-01 06:00 21
2025-02-01 07:00 22
2025-02-01 08:00 23
2025-02-01 09:00 24
2025-03-01 00:00 5
2025-03-01 01:00 6
2025-03-01 02:00 7
2025-03-01 03:00 8
2025-03-01 04:00 9
2025-03-01 05:00 10
